Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Administered_Fed_LTC,Administered_Fed_LTC_Residents,Administered_Fed_LTC_Staff,Administered_Fed_LTC_Unk,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose1_Residents,Administered_Fed_LTC_Dose1_Staff,Administered_Fed_LTC_Dose1_Unk,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_FedLTC,Series_Complete_FedLTC_Residents,Series_Complete_FedLTC_Staff,Series_Complete_FedLTC_Unknown
06/08/2021,23,ND,699640,36500,305900,357240,0,91809,109791,120236,583787,621080,620625,606898,192223,26417,269575,325088,0,6613,3011,2232,1370,3662,1623,1213,826,81500,97392,104298,160393,590335,325057,42.7,324678,51,315988,54.3,99122,82.7,282571,37.1,282534,44.3,278606,47.9,88121,73.5,23531,119452,139587,1,23529,119448,139556,1,23434,119290,135881,1,3272,43677,41172,0,2921,1370,1013,538
06/08/2021,23,ME,1806870,103100,770500,933270,0,134419,152487,164955,633401,1523482,1523391,1468903,498856,98785,659414,764986,297,38126,17084,15306,5736,23993,9834,9883,4276,113336,128563,134101,174875,1536304,866222,64.4,866134,73.1,827896,75.6,267815,93.9,759817,56.5,759793,64.1,743827,67.9,253054,88.7,97583,310592,351563,79,97566,310588,351560,79,97542,310548,335663,74,20685,116032,116313,24,14074,7215,5404,1455
06/08/2021,23,GU,215770,19500,74200,122070,0,130164,152421,166877,765658,167469,167459,159446,27722,3382,65529,98558,0,1,0,0,1,1,0,0,1,101026,118294,123316,98371,167621,93377,56.3,93368,66,87717,67.8,14665,52,76589,46.2,76588,54.1,74224,57.4,13118,46.5,3383,29304,43902,0,3383,29303,43902,0,3383,29296,41545,0,231,5621,7266,0,0,0,0,0
06/08/2021,23,NC,11462550,646300,4711580,6104670,0,109291,127567,140003,654594,8287187,8279788,8039924,2658018,281807,3375979,4629072,329,227400,112442,73114,41844,149122,68153,45669,35300,79015,92146,98199,151792,8233054,4608953,43.9,4602917,51.2,4440771,54.2,1386581,79.2,3874110,36.9,3872737,43.1,3795043,46.4,1254312,71.6,278865,1510569,2084636,40,278847,1510483,2083367,40,277826,1508298,2008879,40,30681,589788,633815,28,76975,43348,26856,6771
06/08/2021,23,MP,72330,2600,20200,49530,0,127158,148901,163023,747983,50325,50325,47966,5101,311,7163,42851,0,1,0,0,1,1,0,0,1,88473,103601,108109,52751,50358,27073,47.6,27073,55.7,25443,57.3,2635,27.2,23577,41.4,23577,48.5,22848,51.5,2522,26.1,316,3213,20048,0,316,3213,20048,0,316,3213,19319,0,57,409,2056,0,0,0,0,0
06/08/2021,23,OK,3959785,222300,1733860,2003625,0,100071,119083,131785,623459,2998090,2997928,2935616,963297,87223,1397072,1513744,51,65049,31208,16105,17736,43950,19303,11471,13176,75767,90157,97700,151669,2950477,1664422,42.1,1664283,50.1,1621884,54,520476,81.9,1356555,34.3,1356522,40.8,1337458,44.5,447652,70.5,85984,615563,654982,26,85976,615549,654971,26,85934,615395,636103,26,15106,236974,195563,9,20807,11721,4494,4592
06/08/2021,23,DC,1048495,54400,416700,577395,0,148565,171954,181532,1200430,805360,805290,792788,164197,25427,318830,460882,221,8957,4237,3861,859,5554,2419,2402,733,114114,132068,137260,187991,722033,409540,58,409467,67.2,399455,69.2,72582,83.1,336199,47.6,336180,55.1,332257,57.5,63736,73,28984,129074,177980,161,28982,129070,177967,161,28966,129039,174093,159,1998,36185,25532,21,3298,1755,1418,125
06/08/2021,23,MT,1093585,69600,485200,538785,0,102321,119179,130159,529743,893704,893603,870221,315157,33996,409019,450400,289,21388,10569,7189,3630,13784,6581,4640,2563,83619,97385,103574,152665,894196,493715,46.2,493636,53.8,477321,56.8,167716,81.2,426212,39.9,426194,46.4,419280,49.9,154354,74.8,33126,189070,203930,86,33123,189057,203928,86,33108,188995,197091,86,7189,74730,72390,45,7573,3973,2532,1068
06/08/2021,23,SD,942135,59300,424780,458055,0,106497,127643,141132,620352,785910,785888,765539,259011,23464,352203,410230,13,12567,7709,2099,2759,8567,5086,1460,2021,88838,106474,114678,170547,790029,431579,48.8,431555,58.5,417216,62.5,137649,90.6,381212,43.1,381207,51.6,375181,56.2,128510,84.6,23692,168024,189483,13,23691,168023,189480,13,23681,167983,183504,13,3418,66470,58615,7,4046,2619,649,778
06/08/2021,23,WY,509135,34000,244840,230295,0,87970,103752,114406,513350,403192,403177,395337,142622,14895,194943,193130,224,6777,1398,692,4687,3918,756,409,2753,69665,82160,88835,143803,394554,218655,37.8,218638,44.6,212951,47.9,75303,75.9,187985,32.5,187984,38.3,185954,41.8,69792,70.4,14222,86899,86813,51,14221,86899,86813,51,14216,86885,84802,51,2372,36263,31135,22,2838,638,280,1920
06/08/2021,23,AK,819105,58700,351100,409305,0,111969,134527,148506,894337,623367,622458,597786,138604,21987,271073,330214,93,6618,2073,1342,3203,4358,1386,940,2032,85212,102230,108381,151334,619603,342912,46.9,342144,56.2,325951,59.1,73581,80.3,294324,40.2,294175,48.3,285553,51.8,68991,75.3,20423,125364,148508,29,20421,125362,148363,29,20329,125041,140154,29,2171,39239,27566,15,2222,666,392,1164
